script,dataset_names,apis,api_descriptions
code/yearly/GlobalGDP.py,Global GDP (Billions USD),,
code/yearly/fetch_gvc_participation.py,US GVC Backward Participation (%),,
code/yearly/fetch_energy_consumption.py,Global Energy Consumption (Million TOE),https://www.iea.org/data-and-statistics/data-tables?category=Energy,International Energy Agency
code/yearly/fetch_rd_spending.py,R&D Spending (% of GDP),,
code/yearly/fetch_patent_filings.py,Patent Filings (PCT),https://www.wipo.int/ipstats/en/statistics/patents/,www.wipo.int
code/yearly/fetch_startup_ecosystem_strength.py,Startup Ecosystem Score,https://startupgenome.com/reports,startupgenome.com
code/yearly/fetch_shadow_banking_size.py,Shadow Banking Size (Trillions USD),https://www.fsb.org/regularly-updated-reports/global-monitoring-report-on-non-bank-financial-intermediation/,www.fsb.org
code/yearly/fetch_remittances.py,US Remittances Inflows (Billions USD),https://data.worldbank.org/indicator/BX.TRF.PWKR.CD.DT?locations=US,World Bank data API
code/yearly/fetch_ecommerce_growth_rates.py,E-commerce Growth Rate (%),https://www.statista.com/statistics/379046/worldwide-retail-e-commerce-sales/,www.statista.com
code/yearly/fetch_cybersecurity_investment.py,Cybersecurity Investment (Billions USD),https://cybersecurityventures.com/cybersecurity-market-report/,cybersecurityventures.com
code/yearly/fetch_ai_integration.py,AI Patent Filings,https://oecd.ai/en/data-and-analysis,oecd.ai
code/yearly/fetch_non_performing_loans.py,Non-Performing Loans (%),https://data.worldbank.org/indicator/FB.AST.NPER.ZS?locations=US,World Bank data API
code/yearly/fetch_education_attainment_levels.py,Tertiary Education Attainment (%),,
code/yearly/fetch_unionization_rates.py,Trade Union Density (%),https://ilostat.ilo.org/topics/union-membership/,ilostat.ilo.org
code/yearly/fetch_venture_capital_investment.py,Venture Capital Investment (Billions USD),https://news.crunchbase.com/venture/,news.crunchbase.com
code/yearly/fetch_digital_infrastructure_quality.py,Broadband Speed (Mbps),https://www.speedtest.net/global-index,www.speedtest.net
code/yearly/fetch_internet_penetration_rates.py,Internet Penetration Rate (%),https://www.itu.int/en/ITU-D/Statistics/Pages/stat/default.aspx,www.itu.int
code/yearly/data_upload_utils.py,,,
code/yearly/fetch_aging_population_metrics.py,Population Ages 65 and Above (Millions),https://data.worldbank.org/indicator/SP.POP.65UP.TO?locations=US,World Bank data API
code/yearly/fetch_technology_adoption_rates.py,Technology Adoption Score,https://www.weforum.org/reports/global-competitiveness-report/,World Economic Forum
code/yearly/fetch_migration_rates.py,Net Migration Rate (per 1000),https://migrationdataportal.org/data,migrationdataportal.org
code/yearly/Public Debt Levels (IMF).py,US Public Debt (% of GDP),https://www.imf.org/en/Publications/WEO/weo-database/2025/April,International Monetary Fund
code/monthly/fetch_coal_prices.py,Global Coal Price (USD/Metric Ton),,
code/monthly/fetch_export_import_prices.py,US Export Price Index,,
code/monthly/fetch_margin_debt.py,US Margin Debt (Millions USD),,
code/monthly/Housing Starts.py,US Housing Starts (Thousands of Units),,
code/monthly/Money Supply (M2).py,US Money Supply M2 (Billions USD),,
code/monthly/fetch_job_vacancy_rates.py,Job Vacancy Rate (%),https://api.bls.gov/publicAPI/v2/timeseries/data/,US Bureau of Labor Statistics API
code/monthly/fetch_wage_growth_rates.py,Wage Growth Rate (%),,
code/monthly/InflationData.py,US CPI (Consumer Price Index),,
code/monthly/Retail Sales.py,US Retail Sales (Millions USD),,
code/monthly/fetch_labor_force_participation.py,Labor Force Participation Rate (%),,
code/monthly/Inflation Rate (CPI).py,"US Inflation Rate (CPI, YoY %)",,
code/monthly/Consumer Confidence Index.py,US Consumer Confidence Index,,
code/monthly/Purchasing Managers' Index (PMI).py,USBCOI (1M),,
code/monthly/fetch_dividend_yields.py,S&P 500 Dividend Yield (%),,
code/monthly/run_all_scripts.py,,,
code/monthly/Unemployment Rate.py,US Unemployment Rate (%),,
code/monthly/Industrial Production.py,US Industrial Production Index (2017=100),,
code/monthly/Building Permits.py,US Building Permits (Thousands of Units),,
code/monthly/fetch_agricultural_prices.py,FAO Food Price Index,http://www.fao.org/faostat/en/#data/PP,www.fao.org
code/monthly/fetch_metal_prices.py,Copper Price (USD/Metric Ton),,
code/monthly/LaborForceParticipation.py,US Labor Force Participation Rate,,
code/monthly/retailConsumption.py,US Retail Sales Excluding Autos,,
code/monthly/fetch_global_trade_volume.py,Global Trade Volume (Billions USD),https://unctadstat.unctad.org/datacentre/reportInfo/MerchandiseTrade,UNCTAD statistics
code/monthly/Business Confidence Index.py,US Business Confidence Index,,
code/monthly/fetch_credit_card_delinquency_rates.py,Credit Card Delinquency Rate (%),,
code/monthly/fetch_youth_unemployment_rate.py,Youth Unemployment Rate (%),https://ilostat.ilo.org/topics/youth/,ilostat.ilo.org
code/monthly/Capacity Utilization.py,US Capacity Utilization (%),,
code/monthly/fetch_employment_population_ratio.py,Employment-to-Population Ratio (%),,
code/monthly/data_upload_utils.py,,,
code/monthly/fetch_electricity_prices.py,Global Electricity Price (USD/MWh),https://www.iea.org/data-and-statistics/data-tables?category=Prices,International Energy Agency
code/monthly/Trade Balance.py,US Trade Balance (Millions USD),,
code/monthly/fetch_commodity_price_index.py,World Bank Commodity Price Index,https://www.worldbank.org/en/research/commodity-markets,World Bank website
code/monthly/bitcoin_close_1mo.py,Bitcoin 1 Month Close Price,,
