time,open,high,low,close,Volume
2019-10-31,1.93,1.93,1.93,1.93,NaN
2019-11-30,1.86,1.86,1.86,1.86,NaN
2019-12-31,1.83,1.83,1.83,1.83,NaN
2020-01-31,1.79,1.79,1.79,1.79,NaN
2020-02-29,1.8,1.8,1.8,1.8,NaN
2020-03-31,2.25,2.25,2.25,2.25,NaN
2020-04-30,2.16,2.16,2.16,2.16,NaN
2020-05-31,2.04,2.04,2.04,2.04,NaN
2020-06-30,1.92,1.92,1.92,1.92,NaN
2020-07-31,1.85,1.85,1.85,1.85,NaN
2020-08-31,1.74,1.74,1.74,1.74,NaN
2020-09-30,1.75,1.75,1.75,1.75,NaN
2020-10-31,1.72,1.72,1.72,1.72,NaN
2020-11-30,1.65,1.65,1.65,1.65,NaN
2020-12-31,1.58,1.58,1.58,1.58,NaN
2021-01-31,1.53,1.53,1.53,1.53,NaN
2021-02-28,1.49,1.49,1.49,1.49,NaN
2021-03-31,1.47,1.47,1.47,1.47,NaN
2021-04-30,1.39,1.39,1.39,1.39,NaN
2021-05-31,1.39,1.39,1.39,1.39,NaN
2021-06-30,1.37,1.37,1.37,1.37,NaN
2021-07-31,1.34,1.34,1.34,1.34,NaN
2021-08-31,1.32,1.32,1.32,1.32,NaN
2021-09-30,1.33,1.33,1.33,1.33,NaN
2021-10-31,1.34,1.34,1.34,1.34,NaN
2021-11-30,1.29,1.29,1.29,1.29,NaN
2021-12-31,1.29,1.29,1.29,1.29,NaN
2022-01-31,1.33,1.33,1.33,1.33,NaN
2022-02-28,1.39,1.39,1.39,1.39,NaN
2022-03-31,1.41,1.41,1.41,1.41,NaN
2022-04-30,1.43,1.43,1.43,1.43,NaN
2022-05-31,1.57,1.57,1.57,1.57,NaN
2022-06-30,1.64,1.64,1.64,1.64,NaN
2022-07-31,1.65,1.65,1.65,1.65,NaN
2022-08-31,1.56,1.56,1.56,1.56,NaN
2022-09-30,1.7,1.7,1.7,1.7,NaN
2022-10-31,1.77,1.77,1.77,1.77,NaN
2022-11-30,1.69,1.69,1.69,1.69,NaN
2022-12-31,1.71,1.71,1.71,1.71,NaN
2023-01-31,1.7,1.7,1.7,1.7,NaN
2023-02-28,1.66,1.66,1.66,1.66,NaN
2023-03-31,1.72,1.72,1.72,1.72,NaN
2023-04-30,1.66,1.66,1.66,1.66,NaN
2023-05-31,1.65,1.65,1.65,1.65,NaN
2023-06-30,1.58,1.58,1.58,1.58,NaN
2023-07-31,1.53,1.53,1.53,1.53,NaN
2023-08-31,1.56,1.56,1.56,1.56,NaN
2023-09-30,1.57,1.57,1.57,1.57,NaN
2023-10-31,1.64,1.64,1.64,1.64,NaN
2023-11-30,1.57,1.57,1.57,1.57,NaN
2023-12-31,1.5,1.5,1.5,1.5,NaN
2024-01-31,1.47,1.47,1.47,1.47,NaN
2024-02-29,1.41,1.41,1.41,1.41,NaN
2024-03-31,1.37,1.37,1.37,1.37,NaN
2024-04-30,1.4,1.4,1.4,1.4,NaN
2024-05-31,1.37,1.37,1.37,1.37,NaN
2024-06-30,1.33,1.33,1.33,1.33,NaN
2024-07-31,1.31,1.31,1.31,1.31,NaN
2024-08-31,1.33,1.33,1.33,1.33,NaN
2024-09-30,1.31,1.31,1.31,1.31,NaN
2024-10-31,1.28,1.28,1.28,1.28,NaN
2024-11-30,1.25,1.25,1.25,1.25,NaN
2024-12-31,1.24,1.24,1.24,1.24,NaN
2025-01-31,1.26,1.26,1.26,1.26,NaN
2025-02-28,1.25,1.25,1.25,1.25,NaN
2025-03-31,1.34,1.34,1.34,1.34,NaN
2025-04-30,1.42,1.42,1.42,1.42,NaN
2025-05-12,1.3,1.3,1.3,1.3,NaN
2025-05-31,1.35,1.35,1.35,1.35,NaN
